id_compra,data,horario,ano,mes,dia_semana,categoria,preco_unitario,quantidade,frete,valor_total,metodo_pagamento,id_cliente,cidade,uf,regiao,idade,sexo_biologico,cashback,avaliacao_compra
6,2023-01-03,20:40,2023,1,Tuesday,Eletrônicos,4457.9,4,713.26,18544.859999999997,Boleto,6149,Porto Alegre,Rio Grande Do Sul,Sul,30,Masculino,1,10
5,2023-01-03,21:48,2023,1,Tuesday,Ferramentas E Construção,115.9,1,0.0,115.9,PIX,9491,São Paulo,São Paulo,Sudeste,36,Masculino,1,8
9,2023-01-03,17:08,2023,1,Tuesday,Beleza E Cuidados Pessoais,68.9,2,13.78,151.58,Cartão de Crédito,5288,Porto Velho,Rondônia,Norte,39,Feminino,0,7
4,2023-01-03,14:29,2023,1,Tuesday,Ferramentas E Construção,80.9,5,40.45,444.95,PIX,9679,Recife,Pernambuco,Nordeste,35,Masculino,1,9
8,2023-01-03,18:02,2023,1,Tuesday,Beleza E Cuidados Pessoais,165.0,4,0.0,660.0,PIX,1380,São Paulo,São Paulo,Sudeste,50,Masculino,0,9
2,2023-01-03,18:42,2023,1,Tuesday,Eletrônicos,5747.9,5,1724.37,30463.87,PIX,2771,Salvador,Bahia,Nordeste,45,Masculino,0,10
3,2023-01-03,23:47,2023,1,Tuesday,Alimentos E Bebidas,84.9,5,0.0,424.5,Cartão de Crédito,1960,São Paulo,São Paulo,Sudeste,35,Feminino,0,10
1,2023-01-03,00:13,2023,1,Tuesday,Eletrodomésticos,3465.9,1,138.64,3604.54,PIX,5146,Rio De Janeiro,Rio De Janeiro,Sudeste,43,Feminino,0,8
7,2023-01-03,17:40,2023,1,Tuesday,Livros,75.9,5,18.98,398.48,Cartão de Crédito,3106,Londrina,Paraná,Sul,35,Masculino,0,10
11,2023-01-04,21:50,2023,1,Wednesday,Casa E Limpeza,13.9,5,3.48,72.98,PIX,8765,Natal,Rio Grande Do Norte,Nordeste,32,Feminino,1,9
19,2023-01-04,20:19,2023,1,Wednesday,Eletrônicos,4196.9,4,2014.51,18802.109999999997,PIX,9528,Ananindeua,Pará,Norte,32,Masculino,1,7
13,2023-01-04,23:25,2023,1,Wednesday,Beleza E Cuidados Pessoais,84.9,3,5.09,259.79,Cartão de Crédito,9030,Belford Roxo,Rio De Janeiro,Sudeste,46,Feminino,0,10
12,2023-01-04,18:44,2023,1,Wednesday,Casa E Limpeza,40.9,3,7.36,130.06,Cartão de Débito,5203,João Pessoa,Paraíba,Nordeste,26,Feminino,1,10
14,2023-01-04,18:22,2023,1,Wednesday,Casa E Limpeza,93.9,3,22.54,304.24000000000007,PIX,2781,Salvador,Bahia,Nordeste,35,Masculino,1,7
17,2023-01-04,18:29,2023,1,Wednesday,Beleza E Cuidados Pessoais,188.9,3,34.0,600.7,Cartão de Crédito,9813,Campina Grande,Paraíba,Nordeste,18,Masculino,1,9
16,2023-01-04,00:04,2023,1,Wednesday,Livros,43.9,2,7.02,94.82,Cartão de Crédito,1012,Goiânia,Goiás,Centro-Oeste,40,Feminino,0,10
18,2023-01-04,00:09,2023,1,Wednesday,Alimentos E Bebidas,61.0,5,0.0,305.0,Cartão de Crédito,6492,São José Dos Campos,São Paulo,Sudeste,18,Masculino,0,9
10,2023-01-04,21:41,2023,1,Wednesday,Casa E Limpeza,106.9,4,0.0,427.6,Cartão de Débito,1055,São Paulo,São Paulo,Sudeste,23,Feminino,1,9
15,2023-01-04,19:42,2023,1,Wednesday,Alimentos E Bebidas,85.9,4,13.74,357.34000000000003,Cartão de Crédito,9682,São João De Meriti,Rio De Janeiro,Sudeste,48,Masculino,0,9
20,2023-01-04,20:09,2023,1,Wednesday,Casa E Limpeza,195.9,1,3.92,199.82,Cartão de Crédito,4825,Rio De Janeiro,Rio De Janeiro,Sudeste,43,Masculino,0,9
26,2023-01-05,17:24,2023,1,Thursday,Alimentos E Bebidas,68.9,5,37.9,382.4,Cartão de Débito,1632,Rio Branco,Acre,Norte,18,Feminino,1,9
27,2023-01-05,22:37,2023,1,Thursday,Beleza E Cuidados Pessoais,67.9,5,23.76,363.26,Boleto,1049,Pelotas,Rio Grande Do Sul,Sul,56,Feminino,0,7
22,2023-01-05,18:40,2023,1,Thursday,Casa E Limpeza,122.9,1,12.29,135.19,Cartão de Crédito,2291,Recife,Pernambuco,Nordeste,51,Feminino,0,8
